Year	id	Country	Preservation Requests	Preservation Accounts Preserved	Total Data Requests	Total Users/Accounts Requested	Percent Requests Where Some Data Produced	Legal Process Request Total	Legal Process Request Total Accounts	Legal Process Request Total Percentage	Emergency Request Total	Emergency Request Total Accounts	Emergency Request Total Percentage	Emergency Disclosures Accounts	Emergency Disclosures	Emergency Disclosures Percentage	Search Warrant	Search Warrant Accounts	Search Warrant Percentage	Subpoena	Subpoena Accounts	Subpoena Percentage	Court Order (Other)	Court Order (Other) Accounts	Court Order (Other) Percentage	Court Order (18 USC 2703(d))	Court Order (18 USC 2703(d)) Accounts	Court Order (18 USC 2703(d)) Percentage	Pen Register/Trap and Trace	Pen Register/Trap and Trace Accounts	Pen Register/Trap and Trace Percentage	Title III,Title III Accounts	Title III Percentage	Title III	Title III Accounts	NSLs	NSLs Accounts
2016	BGD	Bangladesh	15.0	15.0	59.0	66.0	22.244999999999997	33.0	40.0	9.719999999999999	26.0	26.0	70.0																								
2016	BEL	Belgium	101.0	91.0	819.0	1356.0	85.945	776.0	1303.0	85.685	43.0	53.0	90.65																								
2016	BLZ	Belize	0.0	0.0	3.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0																								
2016	BOL	Bolivia	1.0	0.0	3.0	4.0	25.0	3.0	4.0	25.0	0.0	0.0	0.0																								
2016	BIH	Bosnia and Herzegovina	11.0	63.0	17.0	36.0	60.575	17.0	36.0	60.575	0.0	0.0	0.0																								
2016	BWA	Botswana	13.0	27.0	1.0	3.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0																								
2016	BRA	Brazil	1859.0	1788.0	3570.0	7639.0	51.879999999999995	3544.0	7552.0	51.84	26.0	87.0	58.485																								
2016	BRN	Brunei	1.0	1.0	3.0	3.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0																								
2016	BGR	Bulgaria	6.0	9.0	20.0	30.0	57.145	18.0	28.0	58.335	2.0	2.0	25.0																								
2016	CAN	Canada	2496.0	2231.0	1777.0	2246.0	83.67500000000001	940.0	1274.0	81.09	837.0	972.0	85.515																								
2016	CHL	Chile	64.0	61.0	760.0	1072.0	74.60499999999999	760.0	1072.0	74.60499999999999	0.0	0.0	0.0																								
2016	COL	Colombia	524.0	497.0	419.0	700.0	58.495	403.0	681.0	59.835	16.0	19.0	18.18																								
